volume_id,volume_title,volume_long_title,volume_subtitle,volume_short_title,volume_lds_url,book_id,book_title,book_long_title,book_subtitle,book_short_title,book_lds_url,chapter_id,chapter_number,verse_id,verse_number,scripture_text
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31103,1,"1 Siak, ni Nephi , gapu ta naipasngayak iti nasayaat a nagannak , ngarud naisuro kaniak ti amin nga adal ti amak; ket gapu ta nakitak ti adu a panagrigrigat kabayatan ti panagbiagko, nupay kasta, gapu ta napaborannak unay ti Apo iti unos ti panagbiagko; wen, gapu ta naaddaannak iti naindaklan a pannakaammo iti kinasayaat ken dagiti misterio ti Dios, ngarud agaramidak iti kasuratan dagiti paspasamak ti panagbiagko."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31104,2,"2 Wen, agaramidak ti maysa a kasuratan iti pagsasao ti amak, a buklen ti adal dagiti Hudio ken ti pagsasao dagiti taga-Egipto."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31105,3,3 Ken ammok a ti kasuratan nga aramidek ket pudno ; ken aramidek babaen ti bukodko nga ima; ken aramidek daytoy sigun iti pannakaammok.
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31106,4,"4 Ta napasamak nga iti panangrugi ti umuna a tawen a panagturay ni Sedekias , nga ari ti Juda, (ti amak, a ni Lehi, gapu ta nagnaed iti Jerusalem iti unos ti panagbiagna); ket iti dayta met laeng a tawen immay dagiti adu a propeta , a nangipadpadto kadagiti tattao a masapul nga agbabawida, wenno ti dakkel a siudad a Jerusalem ket nasken a madadael."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31107,5,"5 Ngarud napasamak a nagkararag iti Apo ti amak, a ni Lehi , bayat iti ipapanna, wen, uray iti amin a pusona , iti biang dagiti taona."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31108,6,"6 Ket napasamak a bayat ti panagkararagna iti Apo, adda nagparang a maysa nga adigi ti apuy ket nagdisso iti bato iti sangona; ket adu ti nakita ken nangngegna; ket gapu kadagiti bambanag a nakita ken nangngegna kasta unay ti kintayeg ken tigergerna."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31109,7,"7 Ket napasamak a nagsubli isuna iti balayna iti Jerusalem; ket inyiddana ti bagina iti kamana, gapu ta narimbawan ti Espiritu ken dagiti bambanag a nakitana."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31110,8,"8 Ket gapu ta narimbawan ti Espiritu, naaddaan isuna ti maysa a parmata , uray pay a ti langit ket nakitana a naglukat, ket impagarupna a nakitana ti Dios a nakatugaw iti tronona, a napalawlawan kadagiti saan a mabilang a panagtitipon dagiti anghel iti postura nga agkankanta ken agdaydayaw iti Diosda."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31111,9,"9 Ket napasamak a nakitana ti Maysa a bumabbaba manipud iti tengnga ti langit, ket nakitana a naranraniag ti kinaraniagna ngem ti init iti tengnga ti aldaw."
3,Book of Mormon,The Book of Mormon,Another Testament of Jesus Christ,BoM,bofm,67,1 Nephi,The First Book of Nephi,His Reign and Ministry,1 Ne,bofm/1-ne,1190,1,31112,10,"10 Ket nakitana met ti sangapulo ket dua a dadduma pay a sumursurot kenkuana, ket talaga nga artapanda ti kinalawag dagiti bituen iti tangatang."
